s,label,comment
http://psi.udir.no/ontologi/kl06/for-aarstrinn,applies to year level,Egenskap for opplæringsfag for å angi hvilket årstrinn det gjelder for
http://psi.udir.no/ontologi/kl06/for-aarstrinn,applies to year level,"Property for ""opplæringsfag"" (teaching subject) to specify which teaching level it applies"
http://psi.udir.no/ontologi/kl06/for-aarstrinn,for årstrinn,Egenskap for opplæringsfag for å angi hvilket årstrinn det gjelder for
http://psi.udir.no/ontologi/kl06/for-aarstrinn,for årstrinn,"Property for ""opplæringsfag"" (teaching subject) to specify which teaching level it applies"
http://psi.udir.no/ontologi/kl06/fortsetter-opplaering-i-samme-kompetansemaalsett-som,continuing training in same competence aim set as,Egenskap for opplæringsfag for å angi forrige opplæringsfag innenfor samme kompetansemålsett
http://psi.udir.no/ontologi/kl06/fortsetter-opplaering-i-samme-kompetansemaalsett-som,continuing training in same competence aim set as,"Property for ""opplaeringsfag"" (teaching subject) to enter the previous ""opplaeringsfag"" within the same ""kompetansemaalsett"" (competence aim set)"
http://psi.udir.no/ontologi/kl06/fortsetter-opplaering-i-samme-kompetansemaalsett-som,fortsetter opplæring i samme kompetansemålsett som,Egenskap for opplæringsfag for å angi forrige opplæringsfag innenfor samme kompetansemålsett
http://psi.udir.no/ontologi/kl06/fortsetter-opplaering-i-samme-kompetansemaalsett-som,fortsetter opplæring i samme kompetansemålsett som,"Property for ""opplaeringsfag"" (teaching subject) to enter the previous ""opplaeringsfag"" within the same ""kompetansemaalsett"" (competence aim set)"
http://psi.udir.no/ontologi/kl06/gjenbruk-av,gjenbruk av,Egenskap for kompetansemaal_lk20 for å angi hvilket kompetansemål (LK20) fra forrige læreplanrevisjon dette er gjenbruk av
http://psi.udir.no/ontologi/kl06/gjenbruk-av,gjenbruk av,Property for competence aims in lk20 to indicate which competence aim (LK20) from the previous curriculum revision this is reuse of
http://psi.udir.no/ontologi/kl06/gjenbruk-av,reuse of,Egenskap for kompetansemaal_lk20 for å angi hvilket kompetansemål (LK20) fra forrige læreplanrevisjon dette er gjenbruk av
http://psi.udir.no/ontologi/kl06/gjenbruk-av,reuse of,Property for competence aims in lk20 to indicate which competence aim (LK20) from the previous curriculum revision this is reuse of
http://psi.udir.no/ontologi/kl06/grunnleggende-ferdigheter,basic skillls,"Egenskap for ""laereplan_lk20"" (LK20-læreplaner) for å referere til læreplanens grunnleggende ferdigheter"
http://psi.udir.no/ontologi/kl06/grunnleggende-ferdigheter,basic skillls,"Property for ""laereplan_lk20"" (LK20 Curricula) to refer to the curriculum's basic skills"
http://psi.udir.no/ontologi/kl06/grunnleggende-ferdigheter,grunnleggende ferdigheter,"Egenskap for ""laereplan_lk20"" (LK20-læreplaner) for å referere til læreplanens grunnleggende ferdigheter"
http://psi.udir.no/ontologi/kl06/grunnleggende-ferdigheter,grunnleggende ferdigheter,"Property for ""laereplan_lk20"" (LK20 Curricula) to refer to the curriculum's basic skills"
http://psi.udir.no/ontologi/kl06/hovedomraader,hovedområder,"Egenskap for ""laereplan"" (LK06) for å referere til læreplanens hovedområder"
http://psi.udir.no/ontologi/kl06/hovedomraader,hovedområder,"Property for ""laereplan"" (curriculum) (LK06) to refer to the curriculum's main areas"
http://psi.udir.no/ontologi/kl06/hovedomraader,main areas,"Egenskap for ""laereplan"" (LK06) for å referere til læreplanens hovedområder"
http://psi.udir.no/ontologi/kl06/hovedomraader,main areas,"Property for ""laereplan"" (curriculum) (LK06) to refer to the curriculum's main areas"
http://psi.udir.no/ontologi/kl06/hovedomraader-i-kontekst-av-kompetansemaalsett,hovedområder i kontekst av kompetansemålsett,Egenskap for kompetansemålsett for å angi hvilke hovedområder det inneholder
http://psi.udir.no/ontologi/kl06/hovedomraader-i-kontekst-av-kompetansemaalsett,hovedområder i kontekst av kompetansemålsett,Property for competence aim set to indicate which main areas it contains
http://psi.udir.no/ontologi/kl06/hovedomraader-i-kontekst-av-kompetansemaalsett,main areas in the context of competence aim set,Egenskap for kompetansemålsett for å angi hvilke hovedområder det inneholder
http://psi.udir.no/ontologi/kl06/hovedomraader-i-kontekst-av-kompetansemaalsett,main areas in the context of competence aim set,Property for competence aim set to indicate which main areas it contains
http://psi.udir.no/ontologi/kl06/kjerneelementer,core elements,"Egenskap for ""laereplan_lk20"" for å angi hvilke kjerneelemeter det har"
http://psi.udir.no/ontologi/kl06/kjerneelementer,core elements,"Property for ""laereplan_lk20"" (curriculum_lk20) to indicate what core elements it has"
http://psi.udir.no/ontologi/kl06/kjerneelementer,kjerneelementer,"Egenskap for ""laereplan_lk20"" for å angi hvilke kjerneelemeter det har"
http://psi.udir.no/ontologi/kl06/kjerneelementer,kjerneelementer,"Property for ""laereplan_lk20"" (curriculum_lk20) to indicate what core elements it has"
http://psi.udir.no/ontologi/kl06/kompetansemaalsett,kompetansemålsett,Egenskap for 'Laereplan' og 'Laereplan_lk20' for å angi hvilke kompetansemålsett den består av
http://psi.udir.no/ontologi/kl06/kompetansemaalsett,kompetansemålsett,Property for 'Laereplan' and 'Laereplan_lk20' to indicate which competency aim set it consists of
http://psi.udir.no/ontologi/kl06/kompetansemaalsett,kompetence aim set,Egenskap for 'Laereplan' og 'Laereplan_lk20' for å angi hvilke kompetansemålsett den består av
http://psi.udir.no/ontologi/kl06/kompetansemaalsett,kompetence aim set,Property for 'Laereplan' and 'Laereplan_lk20' to indicate which competency aim set it consists of
http://psi.udir.no/ontologi/kl06/laaereplanstruktur,curriculum-structure,"curriculum property (lk20) to indicate which structure it follows (currently) either ""regular"" (structured by year level/subject) or ""module structured"" (structured by specified modules)"
http://psi.udir.no/ontologi/kl06/laaereplanstruktur,curriculum-structure,"egenskap for læreplan (lk20) for å angi om hvilken struktur den følger (foreløpig) enten ""vanlig"" (strukturert etter årstrinn/fag) eller ""modulstrukturert"" (strukturert etter angitte moduler)"
